O*NET-SOC Code,Title,Description,Skills,Tasks,full_profile_text,profile_text,token_count,selected_skills,selected_tasks
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Critical Thinking; Speaking; Reading Comprehension; Writing; Active Listening; Monitoring; Active Learning; Mathematics; Learning Strategies; Science,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency. Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems. Prepare budgets for approval, including those for funding or implementation of programs. Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity. Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services. Implement corrective action plans to solve organizational or departmental problems. Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change. Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products. Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments. Appoint department heads or managers and assign or delegate responsibilities to them. Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals. Review reports submitted by staff members to recommend approval or to suggest changes. Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities. Establish departmental responsibilities and coordinate functions among departments and sites. Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives. Serve as liaisons between organizations, shareholders, and outside organizations. Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes. Preside over, or serve on, boards of directors, management committees, or other governing boards. Attend and participate in meetings of municipal councils or council committees. Organize or approve promotional campaigns. Nominate citizens to boards or commissions. Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings. Direct or coordinate activities of businesses involved with buying or selling investment products or financial services. Prepare bylaws approved by elected officials, and ensure that bylaws are enforced. Make presentations to legislative or other government committees regarding policies, programs, or budgets. Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups. Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting. Refer major policy matters to elected representatives for final decisions. Direct or conduct studies or research on issues affecting areas of responsibility. Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies. Represent organizations or promote their objectives at official functions, or delegate representatives to do so.","Occupation: Chief Executives Description: Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers. Skills: Critical Thinking; Speaking; Reading Comprehension; Writing; Active Listening; Monitoring; Active Learning; Mathematics; Learning Strategies; Science Tasks: Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency. Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems. Prepare budgets for approval, including those for funding or implementation of programs. Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity. Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services. Implement corrective action plans to solve organizational or departmental problems. Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change. Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products. Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments. Appoint department heads or managers and assign or delegate responsibilities to them. Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals. Review reports submitted by staff members to recommend approval or to suggest changes. Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities. Establish departmental responsibilities and coordinate functions among departments and sites. Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives. Serve as liaisons between organizations, shareholders, and outside organizations. Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes. Preside over, or serve on, boards of directors, management committees, or other governing boards. Attend and participate in meetings of municipal councils or council committees. Organize or approve promotional campaigns. Nominate citizens to boards or commissions. Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings. Direct or coordinate activities of businesses involved with buying or selling investment products or financial services. Prepare bylaws approved by elected officials, and ensure that bylaws are enforced. Make presentations to legislative or other government committees regarding policies, programs, or budgets. Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups. Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting. Refer major policy matters to elected representatives for final decisions. Direct or conduct studies or research on issues affecting areas of responsibility. Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies. Represent organizations or promote their objectives at official functions, or delegate representatives to do so.","Occupation: Chief Executives Description: Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers. Skills: Critical Thinking; Speaking; Reading Comprehension; Writing; Active Listening; Monitoring; Active Learning; Mathematics; Learning Strategies; Science Tasks: Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency. Prepare budgets for approval, including those for funding or implementation of programs. Appoint department heads or managers and assign or delegate responsibilities to them. Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals. Review reports submitted by staff members to recommend approval or to suggest changes. Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities. Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives. Preside over, or serve on, boards of directors, management committees, or other governing boards. Organize or approve promotional campaigns.",247,Critical Thinking; Speaking; Reading Comprehension; Writing; Active Listening; Monitoring; Active Learning; Mathematics; Learning Strategies; Science,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency. Prepare budgets for approval, including those for funding or implementation of programs. Appoint department heads or managers and assign or delegate responsibilities to them. Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals. Review reports submitted by staff members to recommend approval or to suggest changes. Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities. Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives. Preside over, or serve on, boards of directors, management committees, or other governing boards. Organize or approve promotional campaigns."
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Critical Thinking; Writing; Active Listening; Reading Comprehension; Speaking; Active Learning; Monitoring; Learning Strategies; Mathematics; Science,"Monitor and evaluate effectiveness of sustainability programs. Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design. Develop, or oversee the development of, sustainability evaluation or monitoring systems. Supervise employees or volunteers working on sustainability projects. Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups. Develop, or oversee the development of, marketing or outreach media for sustainability projects or events. Identify and evaluate pilot projects or programs to enhance the sustainability research agenda. Create and maintain sustainability program documents, such as schedules and budgets. Formulate or implement sustainability campaign or marketing strategies. Research environmental sustainability issues, concerns, or stakeholder interests. Direct sustainability program operations to ensure compliance with environmental or governmental regulations. Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives. Develop methodologies to assess the viability or success of sustainability initiatives. Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws. Write and distribute financial or environmental impact reports. Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives. Identify educational, training, or other development opportunities for sustainability employees or volunteers. Conduct risk assessments related to sustainability and the environment.","Occupation: Chief Sustainability Officers Description: Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy. Skills: Critical Thinking; Writing; Active Listening; Reading Comprehension; Speaking; Active Learning; Monitoring; Learning Strategies; Mathematics; Science Tasks: Monitor and evaluate effectiveness of sustainability programs. Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design. Develop, or oversee the development of, sustainability evaluation or monitoring systems. Supervise employees or volunteers working on sustainability projects. Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups. Develop, or oversee the development of, marketing or outreach media for sustainability projects or events. Identify and evaluate pilot projects or programs to enhance the sustainability research agenda. Create and maintain sustainability program documents, such as schedules and budgets. Formulate or implement sustainability campaign or marketing strategies. Research environmental sustainability issues, concerns, or stakeholder interests. Direct sustainability program operations to ensure compliance with environmental or governmental regulations. Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives. Develop methodologies to assess the viability or success of sustainability initiatives. Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws. Write and distribute financial or environmental impact reports. Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives. Identify educational, training, or other development opportunities for sustainability employees or volunteers. Conduct risk assessments related to sustainability and the environment.","Occupation: Chief Sustainability Officers Description: Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy. Skills: Critical Thinking; Writing; Active Listening; Reading Comprehension; Speaking; Active Learning; Monitoring; Learning Strategies; Mathematics; Science Tasks: Monitor and evaluate effectiveness of sustainability programs. Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design. Develop, or oversee the development of, sustainability evaluation or monitoring systems. Supervise employees or volunteers working on sustainability projects. Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups. Create and maintain sustainability program documents, such as schedules and budgets. Formulate or implement sustainability campaign or marketing strategies. Research environmental sustainability issues, concerns, or stakeholder interests. Develop methodologies to assess the viability or success of sustainability initiatives. Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws. Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives. Conduct risk assessments related to sustainability and the environment.",249,Critical Thinking; Writing; Active Listening; Reading Comprehension; Speaking; Active Learning; Monitoring; Learning Strategies; Mathematics; Science,"Monitor and evaluate effectiveness of sustainability programs. Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design. Develop, or oversee the development of, sustainability evaluation or monitoring systems. Supervise employees or volunteers working on sustainability projects. Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups. Create and maintain sustainability program documents, such as schedules and budgets. Formulate or implement sustainability campaign or marketing strategies. Research environmental sustainability issues, concerns, or stakeholder interests. Develop methodologies to assess the viability or success of sustainability initiatives. Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws. Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives. Conduct risk assessments related to sustainability and the environment."
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Active Listening; Monitoring; Reading Comprehension; Speaking; Critical Thinking; Active Learning; Writing; Learning Strategies; Mathematics; Science,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement. Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products. Direct administrative activities directly related to making products or providing services. Prepare staff work schedules and assign specific duties. Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency. Plan or direct activities, such as sales promotions, that require coordination with other department managers. Perform personnel functions, such as selection, training, or evaluation. Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members. Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits. Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations. Set prices or credit terms for goods or services, based on forecasts of customer demand. Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory. Develop or implement product-marketing strategies, including advertising campaigns or sales promotions. Direct non-merchandising departments of businesses, such as advertising or purchasing. Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management. Plan store layouts or design displays. Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.","Occupation: General and Operations Managers Description: Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors. Skills: Active Listening; Monitoring; Reading Comprehension; Speaking; Critical Thinking; Active Learning; Writing; Learning Strategies; Mathematics; Science Tasks: Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement. Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products. Direct administrative activities directly related to making products or providing services. Prepare staff work schedules and assign specific duties. Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency. Plan or direct activities, such as sales promotions, that require coordination with other department managers. Perform personnel functions, such as selection, training, or evaluation. Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members. Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits. Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations. Set prices or credit terms for goods or services, based on forecasts of customer demand. Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory. Develop or implement product-marketing strategies, including advertising campaigns or sales promotions. Direct non-merchandising departments of businesses, such as advertising or purchasing. Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management. Plan store layouts or design displays. Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.","Occupation: General and Operations Managers Description: Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors. Skills: Active Listening; Monitoring; Reading Comprehension; Speaking; Critical Thinking; Active Learning; Writing; Learning Strategies; Mathematics; Science Tasks: Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement. Direct administrative activities directly related to making products or providing services. Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency. Perform personnel functions, such as selection, training, or evaluation. Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members. Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits. Plan store layouts or design displays.",250,Active Listening; Monitoring; Reading Comprehension; Speaking; Critical Thinking; Active Learning; Writing; Learning Strategies; Mathematics; Science,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement. Direct administrative activities directly related to making products or providing services. Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency. Perform personnel functions, such as selection, training, or evaluation. Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members. Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits. Plan store layouts or design displays."
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,"Analyze and understand the local and national implications of proposed legislation. Appoint nominees to leadership posts, or approve such appointments. Confer with colleagues to formulate positions and strategies pertaining to pending issues. Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure. Develop expertise in subject matters related to committee assignments. Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration. Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts. Maintain knowledge of relevant national and international current events. Make decisions that balance the perspectives of private citizens, public officials, and party leaders. Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements. Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures. Read and review concerns of constituents or the general public and determine if governmental action is necessary. Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media. Review bills in committee, and make recommendations about their future. Seek federal funding for local projects and programs. Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action. Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor. Write, prepare, and deliver statements for the Congressional Record. Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings. Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships. Conduct ""head counts"" to help predict the outcome of upcoming votes. Determine campaign strategies for media advertising, positions on issues, and public appearances. Encourage and support party candidates for political office. Establish personal offices in local districts or states, and manage office staff. Evaluate the structure, efficiency, activities, and performance of government agencies. Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election. Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year. Promote the industries and products of their electoral districts. Represent their government at local, national, and international meetings and conferences. Speak to students to encourage and support the development of future political leaders.","Occupation: Legislators Description: Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions. Tasks: Analyze and understand the local and national implications of proposed legislation. Appoint nominees to leadership posts, or approve such appointments. Confer with colleagues to formulate positions and strategies pertaining to pending issues. Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure. Develop expertise in subject matters related to committee assignments. Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration. Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts. Maintain knowledge of relevant national and international current events. Make decisions that balance the perspectives of private citizens, public officials, and party leaders. Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements. Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures. Read and review concerns of constituents or the general public and determine if governmental action is necessary. Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media. Review bills in committee, and make recommendations about their future. Seek federal funding for local projects and programs. Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action. Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor. Write, prepare, and deliver statements for the Congressional Record. Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings. Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships. Conduct ""head counts"" to help predict the outcome of upcoming votes. Determine campaign strategies for media advertising, positions on issues, and public appearances. Encourage and support party candidates for political office. Establish personal offices in local districts or states, and manage office staff. Evaluate the structure, efficiency, activities, and performance of government agencies. Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election. Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year. Promote the industries and products of their electoral districts. Represent their government at local, national, and international meetings and conferences. Speak to students to encourage and support the development of future political leaders.","Occupation: Legislators Description: Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions. Tasks: Analyze and understand the local and national implications of proposed legislation. Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure. Develop expertise in subject matters related to committee assignments. Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration. Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures. Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action. Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships. Conduct ""head counts"" to help predict the outcome of upcoming votes. Establish personal offices in local districts or states, and manage office staff. Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election. Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year. Speak to students to encourage and support the development of future political leaders.",250,,"Analyze and understand the local and national implications of proposed legislation. Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure. Develop expertise in subject matters related to committee assignments. Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration. Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures. Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action. Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships. Conduct ""head counts"" to help predict the outcome of upcoming votes. Establish personal offices in local districts or states, and manage office staff. Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election. Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year. Speak to students to encourage and support the development of future political leaders."
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Active Listening; Speaking; Critical Thinking; Reading Comprehension; Writing; Monitoring; Active Learning; Learning Strategies; Mathematics; Science,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies. Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications. Coordinate activities of departments, such as sales, graphic arts, media, finance, and research. Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services. Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations. Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals. Prepare budgets and submit estimates for program costs as part of campaign plan development. Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas. Analyze the effectiveness of marketing tactics or channels. Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs. Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies. Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms. Coordinate with the media to disseminate advertising. Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised. Analyze marketing or sales trends to forecast future conditions. Prepare and negotiate advertising and sales contracts. Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns. Represent company at trade association meetings to promote products. Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires. Contact organizations to explain services and facilities offered. Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning. Attend or participate in conferences, community events, and promotional events related to products or technologies. Manage sales team, including setting goals, providing incentives, and evaluating employee performance. Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts. Plan and execute advertising policies and strategies for organizations. Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers. Train and direct workers engaged in developing and producing advertisements. Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers. Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals. Direct and coordinate product research and development.","Occupation: Advertising and Promotions Managers Description: Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis. Skills: Active Listening; Speaking; Critical Thinking; Reading Comprehension; Writing; Monitoring; Active Learning; Learning Strategies; Mathematics; Science Tasks: Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies. Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications. Coordinate activities of departments, such as sales, graphic arts, media, finance, and research. Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services. Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations. Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals. Prepare budgets and submit estimates for program costs as part of campaign plan development. Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas. Analyze the effectiveness of marketing tactics or channels. Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs. Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies. Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms. Coordinate with the media to disseminate advertising. Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised. Analyze marketing or sales trends to forecast future conditions. Prepare and negotiate advertising and sales contracts. Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns. Represent company at trade association meetings to promote products. Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires. Contact organizations to explain services and facilities offered. Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning. Attend or participate in conferences, community events, and promotional events related to products or technologies. Manage sales team, including setting goals, providing incentives, and evaluating employee performance. Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts. Plan and execute advertising policies and strategies for organizations. Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers. Train and direct workers engaged in developing and producing advertisements. Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers. Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals. Direct and coordinate product research and development.","Occupation: Advertising and Promotions Managers Description: Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis. Skills: Active Listening; Speaking; Critical Thinking; Reading Comprehension; Writing; Monitoring; Active Learning; Learning Strategies; Mathematics; Science Tasks: Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies. Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services. Analyze the effectiveness of marketing tactics or channels. Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies. Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms. Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires. Contact organizations to explain services and facilities offered. Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",248,Active Listening; Speaking; Critical Thinking; Reading Comprehension; Writing; Monitoring; Active Learning; Learning Strategies; Mathematics; Science,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies. Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services. Analyze the effectiveness of marketing tactics or channels. Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies. Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms. Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires. Contact organizations to explain services and facilities offered. Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
