user_id,rank,career_code,career_title,cosine_similarity
user_a7fb468bfb3f72d3_01,1,17-3026.00,Industrial Engineering Technologists and Technicians,0.6996834161073949
user_a7fb468bfb3f72d3_01,2,17-2112.03,Manufacturing Engineers,0.6832868684826396
user_a7fb468bfb3f72d3_01,3,17-2112.00,Industrial Engineers,0.6667599250846438
user_a7fb468bfb3f72d3_01,4,41-9031.00,Sales Engineers,0.6386762855108258
user_a7fb468bfb3f72d3_01,5,17-3027.00,Mechanical Engineering Technologists and Technicians,0.6308347910118985
user_64ba0a872314c174_01,1,51-9162.00,Computer Numerically Controlled Tool Programmers,0.5322823512143295
user_64ba0a872314c174_01,2,15-1221.00,Computer and Information Research Scientists,0.525169948228211
user_64ba0a872314c174_01,3,11-3021.00,Computer and Information Systems Managers,0.5135948269800759
user_64ba0a872314c174_01,4,17-3013.00,Mechanical Drafters,0.5089056045037711
user_64ba0a872314c174_01,5,17-1011.00,"Architects, Except Landscape and Naval",0.5047765446333068
user_efa3f84b0b7955b2_01,1,11-3051.01,Quality Control Systems Managers,0.5097780022174307
user_efa3f84b0b7955b2_01,2,17-2041.00,Chemical Engineers,0.5005453409557681
user_efa3f84b0b7955b2_01,3,51-3092.00,Food Batchmakers,0.47769174353162547
user_efa3f84b0b7955b2_01,4,17-3027.00,Mechanical Engineering Technologists and Technicians,0.47125355074695563
user_efa3f84b0b7955b2_01,5,19-4099.01,Quality Control Analysts,0.4588143593186321
user_baf70d2d4bd29efa_01,1,15-1253.00,Software Quality Assurance Analysts and Testers,0.6025363509498239
user_baf70d2d4bd29efa_01,2,15-1244.00,Network and Computer Systems Administrators,0.6008427580840954
user_baf70d2d4bd29efa_01,3,15-1299.08,Computer Systems Engineers/Architects,0.5786137278433213
user_baf70d2d4bd29efa_01,4,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.5461711793721002
user_baf70d2d4bd29efa_01,5,15-1231.00,Computer Network Support Specialists,0.5253085323478652
user_5ec2f39ec6e73db2_01,1,13-2011.00,Accountants and Auditors,0.7295841391693507
user_5ec2f39ec6e73db2_01,2,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.7093249151365332
user_5ec2f39ec6e73db2_01,3,13-2031.00,Budget Analysts,0.6904364743295233
user_5ec2f39ec6e73db2_01,4,11-3031.01,Treasurers and Controllers,0.6844415167913322
user_5ec2f39ec6e73db2_01,5,43-3021.00,Billing and Posting Clerks,0.6247268564063493
user_db746cd792573920_01,1,13-2011.00,Accountants and Auditors,0.6348556119481675
user_db746cd792573920_01,2,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.6257770736674464
user_db746cd792573920_01,3,13-2061.00,Financial Examiners,0.6008859393513062
user_db746cd792573920_01,4,11-3031.01,Treasurers and Controllers,0.5579952308350038
user_db746cd792573920_01,5,13-2031.00,Budget Analysts,0.5289675953123346
user_a54264ca41c1d861_01,1,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.654601971434279
user_a54264ca41c1d861_01,2,13-2011.00,Accountants and Auditors,0.5773444787282578
user_a54264ca41c1d861_01,3,11-3031.01,Treasurers and Controllers,0.5319463292362174
user_a54264ca41c1d861_01,4,43-3021.00,Billing and Posting Clerks,0.5148931847436878
user_a54264ca41c1d861_01,5,13-2061.00,Financial Examiners,0.5148188623114787
user_1b99077ec11a84ad_01,1,13-2011.00,Accountants and Auditors,0.7156108135011523
user_1b99077ec11a84ad_01,2,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",0.6813113528120353
user_1b99077ec11a84ad_01,3,11-3031.01,Treasurers and Controllers,0.6569643940235593
user_1b99077ec11a84ad_01,4,13-2061.00,Financial Examiners,0.6193769751686988
user_1b99077ec11a84ad_01,5,43-3021.00,Billing and Posting Clerks,0.6035299986824851
user_f129aee18c6e3459_01,1,43-6011.00,Executive Secretaries and Executive Administrative Assistants,0.6353195043393806
user_f129aee18c6e3459_01,2,11-3021.00,Computer and Information Systems Managers,0.6170843272121538
user_f129aee18c6e3459_01,3,11-3012.00,Administrative Services Managers,0.6065455139351175
user_f129aee18c6e3459_01,4,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.5723084294379314
user_f129aee18c6e3459_01,5,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.5651247228534173
user_30813e464f76d4ae_01,1,21-1091.00,Health Education Specialists,0.6293410066194522
user_30813e464f76d4ae_01,2,29-2099.08,Patient Representatives,0.6272660475338102
user_30813e464f76d4ae_01,3,29-1071.00,Physician Assistants,0.6179063581742841
user_30813e464f76d4ae_01,4,11-9111.00,Medical and Health Services Managers,0.6106005183136269
user_30813e464f76d4ae_01,5,43-6013.00,Medical Secretaries and Administrative Assistants,0.60586780056142
user_213c6044960034fe_01,1,29-2061.00,Licensed Practical and Licensed Vocational Nurses,0.6697059114806297
user_213c6044960034fe_01,2,31-1131.00,Nursing Assistants,0.6520762570026079
user_213c6044960034fe_01,3,31-1121.00,Home Health Aides,0.6300945105911082
user_213c6044960034fe_01,4,29-1071.00,Physician Assistants,0.6192703709398997
user_213c6044960034fe_01,5,29-1141.01,Acute Care Nurses,0.6041687754893827
user_44d2c2a48e55e151_01,1,11-9121.01,Clinical Research Coordinators,0.5589927182080949
